thoi_diem,xau_dong,xau_mo_that,r_xau_nghi,r_paxg_nghi,uoc_beta0_khong_doi,uoc_beta090_pp_cu_xap_xi,uoc_beta1_giu_delta,uoc_beta015_toi_uu,uoc_pp_cu_nguyen_van,so_moc_247,bien_dong_uoc_247
2023-03-12 22:00:00+00:00,1867.448,1872.398,0.0026471693703940566,0.03381743617128141,1867.448,1925.1588532023352,1931.680267526733,1876.944912259206,1911.3043145062766,49,0.04271939959379265
2023-03-19 22:00:00+00:00,1987.798,1984.148,-0.0018378905591499928,0.009383867060281796,1987.798,2004.6569999263988,2006.539026301437,1990.5979549442854,2007.6616484853346,50,0.01704506247323186
2023-03-26 22:00:00+00:00,1977.988,1979.798,0.000914652851966047,0.005029166437494717,1977.988,1986.9611598390911,1987.9606869952122,1979.4807075893339,2008.0988918737448,50,0.020378016556321304
2023-04-02 22:00:00+00:00,1968.748,1972.298,0.0018015526640156865,0.001469358531405203,1968.748,1971.3532392370423,1971.6429229890346,1969.1819673227603,1972.5538740930745,50,0.017456516017666183
2023-04-09 22:00:00+00:00,2006.476,1993.341,-0.006567824086079802,0.005240587835452175,2006.476,2015.9619551523913,2017.0187146001315,2008.0538871556241,2015.385617816767,74,0.01875904938169754
2023-04-16 22:00:00+00:00,2003.498,1998.498,-0.00249875442232934,-0.00034005781310468206,2003.498,2002.8849191885038,2002.8168106800001,2003.395806834125,2028.7663457733418,50,0.016284926675396553
2023-04-23 22:00:00+00:00,1982.248,1980.748,-0.0007570030712277883,-0.0009076117299832055,1982.248,1980.6294607594548,1980.4497046638817,1981.9781516387518,1961.474949194126,50,0.015251174432971417
2023-04-30 22:00:00+00:00,1989.548,1990.398,0.00042714148027300065,0.006121017004874193,1989.548,2000.538496488078,2001.763404349517,1991.3755474262816,2001.994942234162,50,0.01639164318863633
2023-05-07 22:00:00+00:00,2016.298,2016.608,0.0001537352968853273,0.0011945435201443162,2016.298,2018.4668657926813,2018.707994845868,2016.6593157261723,2020.7730118145766,50,0.017611768012493968
2023-05-14 22:00:00+00:00,2009.798,2007.498,-0.0011450489340597116,-0.0012913169411052432,2009.798,2007.4635991808082,2007.2043887418824,2009.4087447692675,2056.034595064834,50,0.01828100195554204
2023-05-21 22:00:00+00:00,1977.448,1976.478,-0.0004906515799535693,-0.0036130837069143365,1977.448,1971.0282268518424,1970.3162064918158,1976.3765875864196,1992.0978573166215,50,0.01359707462296249
2023-05-28 22:00:00+00:00,1945.788,1942.078,-0.0019085025698432144,0.0005092946379501353,1945.788,1946.680085890422,1946.7792317880794,1945.9366525872733,1900.312032926961,50,0.01893085261682158
2023-06-04 22:00:00+00:00,1947.738,1947.045,-0.00035586065119069387,-0.009330789795854602,1947.738,1931.4499464333965,1929.6485916221063,1945.0138167749756,1912.017989032396,50,0.01918901506935089
2023-06-11 22:00:00+00:00,1960.798,1959.324,-0.0007520174471436578,0.0001998401285626845,1960.798,1961.1506932280313,1961.1898852803038,1960.8567777996188,1961.9802476184875,50,0.019683851518447114
