khung,mo_hinh,che_do,lot,cat_lo,rr,so_lenh,loi_nhuan_rong,loi_nhuan_pct,ty_le_thang,he_so_loi_nhuan,sharpe,sortino,sut_giam_toi_da,calmar,ky_vong
H1,XGBoost,% rui ro 1.0%,,5,2.0,2564,-6225.05,-62.25,0.3639,0.931,-0.509,-4.91,-71.74,-0.271,-2.43
H1,XGBoost,% rui ro 1.0%,,10,1.5,1582,274.9,2.75,0.4526,1.004,0.128,0.416,-38.72,0.016,0.17
H1,XGBoost,% rui ro 1.0%,,10,2.0,1489,1847.16,18.47,0.4265,1.027,0.285,1.002,-32.17,0.119,1.24
H1,XGBoost,% rui ro 1.0%,,15,1.5,1300,-2125.59,-21.26,0.4585,0.943,-0.284,-0.661,-38.84,-0.133,-1.64
H1,XGBoost,% rui ro 1.0%,,15,2.0,1263,-1608.64,-16.09,0.4466,0.959,-0.17,-0.423,-42.48,-0.09,-1.27
H1,XGBoost,% rui ro 1.0%,,20,1.5,1186,-456.49,-4.56,0.4755,0.986,-0.025,-0.049,-27.33,-0.038,-0.38
H1,XGBoost,% rui ro 1.0%,,20,2.0,1171,2712.33,27.12,0.4808,1.077,0.471,1.008,-21.94,0.25,2.32
H1,XGBoost,% rui ro 1.0%,,25,1.5,1138,-700.64,-7.01,0.471,0.973,-0.102,-0.183,-22.86,-0.07,-0.62
H1,XGBoost,% rui ro 1.0%,,25,2.0,1124,263.23,2.63,0.4715,1.01,0.107,0.203,-22.54,0.026,0.23
H1,XGBoost,% rui ro 1.0%,,30,1.5,1108,-1135.58,-11.36,0.4684,0.949,-0.247,-0.411,-18.66,-0.142,-1.02
H1,XGBoost,% rui ro 1.0%,,30,2.0,1099,-237.24,-2.37,0.4732,0.99,-0.009,-0.016,-17.14,-0.031,-0.22
H1,XGBoost,% rui ro 2.0%,,5,1.5,1514,-8001.42,-80.01,0.4188,0.899,-0.619,-4.366,-80.24,-0.375,-5.28
H1,XGBoost,% rui ro 2.0%,,5,2.0,748,-8012.05,-80.12,0.3837,0.852,-0.99,-5.46,-83.22,-0.362,-10.71
H1,XGBoost,% rui ro 2.0%,,10,1.5,1582,-1076.43,-10.76,0.4526,0.99,0.128,0.416,-64.04,-0.039,-0.68
H1,XGBoost,% rui ro 2.0%,,10,2.0,1489,1618.75,16.19,0.4265,1.013,0.285,1.002,-56.08,0.06,1.09
H1,XGBoost,% rui ro 2.0%,,15,1.5,1300,-4380.86,-43.81,0.4585,0.922,-0.284,-0.661,-64.38,-0.187,-3.37
H1,XGBoost,% rui ro 2.0%,,15,2.0,1263,-3689.68,-36.9,0.4466,0.939,-0.17,-0.423,-67.88,-0.143,-2.92
H1,XGBoost,% rui ro 2.0%,,20,1.5,1186,-1471.88,-14.72,0.4755,0.974,-0.025,-0.049,-47.96,-0.072,-1.24
H1,XGBoost,% rui ro 2.0%,,20,2.0,1171,4970.55,49.71,0.4808,1.071,0.471,1.008,-39.95,0.235,4.24
H1,XGBoost,% rui ro 2.0%,,25,1.5,1138,-1767.13,-17.67,0.471,0.961,-0.102,-0.183,-41.29,-0.102,-1.55
H1,XGBoost,% rui ro 2.0%,,25,2.0,1124,-10.76,-0.11,0.4715,1.0,0.107,0.203,-40.8,-0.001,-0.01
H1,XGBoost,% rui ro 2.0%,,30,1.5,1108,-2430.74,-24.31,0.4684,0.941,-0.247,-0.411,-35.36,-0.17,-2.19
H1,XGBoost,% rui ro 2.0%,,30,2.0,1099,-841.33,-8.41,0.4732,0.981,-0.009,-0.016,-31.89,-0.061,-0.77
M15,Baseline_MACD_EMA,lot co dinh,0.1,5,1.5,1565,-884.07,-8.84,0.4409,0.978,-0.173,-0.626,-39.44,-0.171,-0.56
M15,Baseline_MACD_EMA,lot co dinh,0.1,5,2.0,1429,739.41,7.39,0.4129,1.019,0.355,1.492,-29.19,0.189,0.52
M15,Baseline_MACD_EMA,lot co dinh,0.1,10,1.5,1083,2376.17,23.76,0.47,1.059,0.719,1.656,-31.08,0.56,2.19
M15,Baseline_MACD_EMA,lot co dinh,0.1,10,2.0,1032,5425.42,54.25,0.4641,1.143,1.337,3.271,-27.79,1.389,5.26
M15,Baseline_MACD_EMA,lot co dinh,0.1,15,1.5,950,2798.65,27.99,0.4905,1.071,0.746,1.443,-30.6,0.667,2.95
M15,Baseline_MACD_EMA,lot co dinh,0.1,15,2.0,932,7370.94,73.71,0.4861,1.192,1.494,3.119,-28.65,1.8,7.91
M15,Baseline_MACD_EMA,lot co dinh,0.1,20,1.5,904,7435.72,74.36,0.5,1.19,1.467,2.644,-33.76,1.54,8.23
M15,Baseline_MACD_EMA,lot co dinh,0.1,20,2.0,881,9871.01,98.71,0.4972,1.265,1.804,3.47,-32.16,2.106,11.2
M15,Baseline_MACD_EMA,lot co dinh,0.1,25,1.5,877,6681.07,66.81,0.5017,1.165,1.285,2.235,-35.1,1.34,7.62
M15,Baseline_MACD_EMA,lot co dinh,0.1,25,2.0,868,8536.36,85.36,0.4988,1.211,1.493,2.767,-35.13,1.684,9.83
M15,Baseline_MACD_EMA,lot co dinh,0.1,30,1.5,864,5150.32,51.5,0.5023,1.123,1.027,1.694,-36.78,0.999,5.96
M15,Baseline_MACD_EMA,lot co dinh,0.1,30,2.0,858,9607.88,96.08,0.507,1.236,1.572,2.773,-36.78,1.796,11.2
M15,Baseline_MACD_EMA,lot co dinh,0.2,5,1.5,1565,-1768.14,-17.68,0.4409,0.978,0.187,0.453,-78.63,-0.173,-1.13
M15,Baseline_MACD_EMA,lot co dinh,0.2,5,2.0,1429,1478.82,14.79,0.4129,1.019,0.457,1.449,-58.01,0.189,1.03
M15,Baseline_MACD_EMA,lot co dinh,0.2,10,1.5,1083,4752.34,47.52,0.47,1.059,0.765,1.512,-62.16,0.547,4.39
M15,Baseline_MACD_EMA,lot co dinh,0.2,10,2.0,1032,10850.84,108.51,0.4641,1.143,1.181,2.502,-55.57,1.33,10.51
M15,Baseline_MACD_EMA,lot co dinh,0.2,15,1.5,950,5597.3,55.97,0.4905,1.071,0.816,1.476,-61.21,0.65,5.89
M15,Baseline_MACD_EMA,lot co dinh,0.2,15,2.0,932,14741.88,147.42,0.4861,1.192,1.309,2.536,-57.31,1.707,15.82
M15,Baseline_MACD_EMA,lot co dinh,0.2,20,1.5,904,14871.44,148.71,0.5,1.19,1.274,2.154,-67.52,1.461,16.45
M15,Baseline_MACD_EMA,lot co dinh,0.2,20,2.0,881,19742.02,197.42,0.4972,1.265,1.48,2.65,-64.33,1.978,22.41
M15,Baseline_MACD_EMA,lot co dinh,0.2,25,1.5,877,13362.14,133.62,0.5017,1.165,1.166,1.973,-70.19,1.275,15.24
M15,Baseline_MACD_EMA,lot co dinh,0.2,25,2.0,868,17072.72,170.73,0.4988,1.211,1.29,2.275,-70.27,1.59,19.67
