thoi_diem,do_dai_nghi_gio,xau_dong_truoc,xau_mo_that,khoang_trong_that,uoc_khong_doi,uoc_giu_delta,uoc_mo_hinh,paxg_khoang_trong,sai_so_khong_doi,sai_so_giu_delta,sai_so_mo_hinh
2022-10-09 22:00:00+00:00,50.0,1694.458,1695.464,1.0059999999998581,1694.458,1694.6274458000003,1697.7648618943206,0.16944580000017595,-1.0059999999998581,-0.8365541999996822,2.300861894320633
2022-10-16 22:00:00+00:00,50.0,1643.618,1644.068,0.4500000000000455,1643.618,1646.961229979432,1643.172238316011,3.3432299794319533,-0.4500000000000455,2.893229979431908,-0.8957616839888942
2022-10-23 22:00:00+00:00,50.0,1657.298,1657.608,0.30999999999994543,1657.298,1662.8216084278042,1656.4514752507964,5.52360842780422,-0.30999999999994543,5.2136084278042745,-1.1565247492035269
2022-10-30 22:00:00+00:00,50.0,1644.498,1643.398,-1.1000000000001364,1644.498,1646.1781553324063,1645.1233852164855,1.6801553324062297,1.1000000000001364,2.780155332406366,1.7253852164856198
2022-11-06 23:00:00+00:00,51.0,1681.148,1674.327,-6.820999999999913,1681.148,1681.4839608313341,1679.6767483388428,0.33596083133420507,6.820999999999913,7.156960831334118,5.349748338842801
2022-11-13 23:00:00+00:00,50.0,1771.198,1765.917,-5.281000000000176,1771.198,1736.3394702478777,1775.031063693225,-34.85852975212242,5.281000000000176,-29.577529752122246,9.114063693225035
2022-11-20 23:00:00+00:00,50.0,1750.398,1749.817,-0.5809999999999036,1750.398,1755.7264304268087,1749.562102194379,5.328430426808836,0.5809999999999036,5.90943042680874,-0.25489780562111264
2022-11-27 23:00:00+00:00,53.0,1754.417,1755.787,1.3700000000001182,1754.417,1758.780969197234,1754.8618082423516,4.363969197234155,-1.3700000000001182,2.993969197234037,-0.925191757648463
2022-12-04 23:00:00+00:00,50.0,1797.248,1795.937,-1.3110000000001492,1797.248,1803.171917250762,1798.342724218292,5.9239172507618605,1.3110000000001492,7.23491725076201,2.4057242182921073
2022-12-11 23:00:00+00:00,50.0,1795.397,1795.687,0.2899999999999636,1795.397,1805.320854145792,1795.616850867077,9.92385414579212,-0.2899999999999636,9.633854145792156,-0.07014913292300662
2022-12-18 23:00:00+00:00,50.0,1792.598,1792.257,-0.3409999999998945,1792.598,1786.8144431702972,1793.0919909248564,-5.783556829702775,0.3409999999998945,-5.44255682970288,0.8349909248563563
2022-12-26 23:00:00+00:00,74.0,1798.198,1800.047,1.8489999999999327,1798.198,1792.8614577009685,1799.8044060444013,-5.336542299031635,-1.8489999999999327,-7.185542299031567,-0.24259395559874974
2023-01-02 23:00:00+00:00,74.0,1823.463,1826.837,3.3740000000000236,1823.463,1822.462197036223,1825.443599706694,-1.000802963777005,-3.3740000000000236,-4.374802963777029,-1.3934002933060583
2023-01-08 23:00:00+00:00,50.0,1865.598,1867.537,1.9390000000000782,1865.598,1874.856314693168,1862.0527978508521,9.258314693168131,-1.9390000000000782,7.319314693168053,-5.4842021491479045
2023-01-15 23:00:00+00:00,50.0,1919.398,1920.337,0.9390000000000782,1919.398,1915.7358598037024,1916.648122759375,-3.662140196297514,-0.9390000000000782,-4.601140196297592,-3.688877240625061
2023-01-22 23:00:00+00:00,50.0,1925.298,1926.128,0.8299999999999272,1925.298,1925.1055086982608,1923.0657335332182,-0.19249130173921003,-0.8299999999999272,-1.0224913017391373,-3.0622664667816935
2023-01-29 23:00:00+00:00,50.0,1927.598,1927.108,-0.4900000000000091,1927.598,1920.5903685921935,1926.3288093339108,-7.007631407806457,0.4900000000000091,-6.517631407806448,-0.7791906660891073
2023-02-05 23:00:00+00:00,50.0,1864.548,1864.508,-0.03999999999996362,1864.548,1852.489656751415,1866.7743895832846,-12.05834324858506,0.03999999999996362,-12.018343248585097,2.2663895832845355
2023-02-12 23:00:00+00:00,50.0,1864.698,1863.917,-0.7810000000001764,1864.698,1864.4222779518072,1860.1123057959176,-0.27572204819284707,0.7810000000001764,0.5052779518073294,-3.8046942040823524
2023-02-19 23:00:00+00:00,50.0,1841.898,1840.407,-1.4909999999999854,1841.898,1843.093711788935,1840.9765134994373,1.1957117889351139,1.4909999999999854,2.6867117889350993,0.5695134994373348
2023-02-26 23:00:00+00:00,50.0,1810.665,1810.758,0.09300000000007458,1810.665,1808.1118335237904,1809.564329057338,-2.553166476209526,-0.09300000000007458,-2.6461664762096007,-1.1936709426620382
2023-03-05 23:00:00+00:00,50.0,1855.798,1854.644,-1.1539999999999964,1855.798,1860.6548824642682,1852.4784788377067,4.85688246426821,1.1539999999999964,6.010882464268207,-2.1655211622933166
2023-03-12 22:00:00+00:00,49.0,1867.448,1872.398,4.949999999999818,1867.448,1931.6802675267336,1874.7224685747592,64.2322675267335,-4.949999999999818,59.282267526733676,2.324468574759294
2023-03-19 22:00:00+00:00,50.0,1987.798,1984.148,-3.650000000000091,1987.798,2006.5390263014378,1978.4802975245327,18.74102630143784,3.650000000000091,22.391026301437932,-5.667702475467195
2023-03-26 22:00:00+00:00,50.0,1977.988,1979.798,1.8099999999999454,1977.988,1987.9606869952122,1974.6479445463863,9.972686995212143,-1.8099999999999454,8.162686995212198,-5.1500554536137315
2023-04-02 22:00:00+00:00,50.0,1968.748,1972.298,3.5499999999999545,1968.748,1971.6429229890343,1967.5065732317096,2.894922989034285,-3.5499999999999545,-0.6550770109656696,-4.791426768290421
2023-04-09 22:00:00+00:00,74.0,2006.476,1993.341,-13.135000000000218,2006.476,2017.0187146001317,2003.9700250151448,10.542714600131603,13.135000000000218,23.67771460013182,10.629025015144862
2023-04-16 22:00:00+00:00,50.0,2003.498,1998.498,-5.0,2003.498,2002.8168106800001,2005.2303719460276,-0.6811893199999304,5.0,4.31881068000007,6.73237194602757
2023-04-23 22:00:00+00:00,50.0,1982.248,1980.748,-1.5,1982.248,1980.449704663882,1982.2082695473864,-1.7982953361181444,1.5,-0.2982953361181444,1.4602695473863605
2023-04-30 22:00:00+00:00,50.0,1989.548,1990.398,0.849999999999909,1989.548,2001.7634043495161,1984.1600736293321,12.21540434951612,-0.849999999999909,11.365404349516211,-6.237926370667765
2023-05-07 22:00:00+00:00,50.0,2016.298,2016.608,0.30999999999994543,2016.298,2018.7079948458681,2017.457043247601,2.409994845868141,-0.30999999999994543,2.0999948458681956,0.8490432476010028
2023-05-14 22:00:00+00:00,50.0,2009.798,2007.498,-2.2999999999999545,2009.798,2007.2043887418822,2008.4550087323662,-2.5936112581177895,2.2999999999999545,-0.29361125811783495,0.9570087323661483
2023-05-21 22:00:00+00:00,50.0,1977.448,1976.478,-0.9700000000000273,1977.448,1970.3162064918158,1976.69618602963,-7.131793508184273,0.9700000000000273,-6.161793508184246,0.21818602963003286
2023-05-28 22:00:00+00:00,50.0,1945.788,1942.078,-3.7100000000000364,1945.788,1946.7792317880796,1947.227970396144,0.9912317880796309,3.7100000000000364,4.701231788079667,5.149970396143999
2023-06-04 22:00:00+00:00,50.0,1947.738,1947.045,-0.6929999999999836,1947.738,1929.6485916221077,1946.315514385503,-18.08940837789237,0.6929999999999836,-17.396408377892385,-0.7294856144969799
2023-06-11 22:00:00+00:00,50.0,1960.798,1959.324,-1.4739999999999327,1960.798,1961.189885280303,1958.027258720968,0.3918852803030859,1.4739999999999327,1.8658852803030186,-1.296741279032176
2023-06-18 22:00:00+00:00,50.0,1957.358,1957.198,-0.15999999999985448,1957.358,1943.6357384422104,1957.836585319388,-13.72226155778958,0.15999999999985448,-13.562261557789725,0.6385853193878575
2023-06-25 22:00:00+00:00,50.0,1920.388,1924.948,4.560000000000173,1920.388,1913.96342881205,1920.742069475233,-6.424571187949823,-4.560000000000173,-10.984571187949996,-4.205930524767155
2023-07-02 22:00:00+00:00,50.0,1919.538,1918.898,-0.6400000000001,1919.538,1913.0541606339925,1919.8764613587596,-6.483839366007487,0.6400000000001,-5.843839366007387,0.9784613587596596
2023-07-09 22:00:00+00:00,50.0,1923.838,1923.998,0.16000000000008185,1923.838,1919.6129696276512,1925.4857171657366,-4.225030372348783,-0.16000000000008185,-4.385030372348865,1.4877171657365125
2023-07-16 22:00:00+00:00,50.0,1954.748,1954.048,-0.7000000000000455,1954.748,1951.707956454122,1956.3478813540687,-3.0400435458780066,0.7000000000000455,-2.340043545877961,2.2998813540687024
2023-07-23 22:00:00+00:00,50.0,1961.428,1961.498,0.06999999999993634,1961.428,1957.9831962267995,1960.8064918951725,-3.444803773200647,-0.06999999999993634,-3.5148037732005832,-0.6915081048275624
2023-07-30 22:00:00+00:00,50.0,1958.465,1958.608,0.1430000000000291,1958.465,1957.459627823408,1957.7245771590956,-1.0053721765918908,-0.1430000000000291,-1.14837217659192,-0.883422840904359
2023-08-06 22:00:00+00:00,50.0,1942.568,1942.098,-0.4700000000000273,1942.568,1946.7959001966217,1943.3679205628735,4.227900196621704,0.4700000000000273,4.697900196621731,1.2699205628734944
