khung,thanh_phan,buoc,n,mae_mo_hinh_usd,mae_giu_delta_usd,mae_mot_buoc_usd,mape_mo_hinh_pct,rmse_mo_hinh_usd,gia_tri_tb_usd
H1,close,28,404.0,5.107200007929377,5.682608318000875,2.6042528561207017,0.22893108296116485,7.381912139278474,2245.396735148515
H1,close,29,404.0,5.120587953903885,5.960732212298844,2.4390865346554125,0.23092305732247756,7.435245739087052,2245.7537301980196
H1,close,30,404.0,5.223762107945752,5.8417008675185,2.4502381854806785,0.23937146327913122,7.568566257425539,2245.9562574257425
H1,close,31,404.0,5.526589893113594,6.201608998543995,2.5839261939661458,0.25127671946259245,8.122976218442258,2246.2846658415847
H1,close,32,404.0,5.454946612118134,6.086551780571192,2.6746516428435894,0.24682611039129185,8.075309989024042,2246.507866336634
H1,close,33,404.0,5.3998945052869685,6.0008587066990255,2.2723494596562226,0.24276123094423707,7.846781636341241,2246.5140470297033
H1,close,34,404.0,5.666337947205058,6.3639029986373785,2.5967565383184894,0.256862892866504,8.084489351322958,2246.4868935643567
H1,close,35,404.0,5.501109557770763,6.231693967306976,2.3740969306730584,0.24844540890781325,8.230139959692098,2246.525301980198
H1,close,36,404.0,5.3651805306777325,6.224998694866532,2.5224103971234175,0.24222627521218368,7.839352811840878,2246.3163564356437
H1,close,37,404.0,5.551887337908848,6.317943646044607,2.6026256435504416,0.2521981656890801,8.002530977926012,2246.2333886138617
H1,close,38,404.0,5.581964818312991,6.111157767981202,2.6578240735512946,0.25188356895246733,8.567743654920273,2245.8605396039607
H1,close,39,404.0,5.781327527866043,6.44950400117157,2.5801070191030147,0.2646479136637812,8.226757480320632,2245.6564752475247
H1,close,40,404.0,5.690751351968123,6.317258240620613,2.4686412649206053,0.2581713319497213,8.093771722302954,2245.351561881188
H1,close,41,404.0,5.831160177276153,6.500064905015953,2.433501995239017,0.26534192739040396,8.340287802129197,2245.360613861386
H1,close,42,404.0,5.848781679059831,6.626039893294198,2.517183739094908,0.26560038248652335,8.367433662946821,2245.5056386138613
H1,close,43,404.0,6.172981266723616,6.873285709236805,2.603971473309388,0.28272752635571613,9.174243396845368,2245.367900990099
H1,close,44,404.0,6.20787969568352,6.7808393181432285,2.537060113893606,0.2850118327826599,8.762947747255698,2245.4514876237627
H1,close,45,404.0,6.349675154059073,6.991806038834174,2.5943341199874643,0.2902113783107302,9.468224456509553,2245.454225247525
H1,close,46,404.0,6.378940190369116,7.002759565469457,2.7730838302072347,0.29090772658236114,9.99749832555612,2245.1542128712867
H1,close,47,404.0,6.172540794589495,6.898156186332773,2.5393058728237117,0.2807084058728885,9.176398734542818,2245.42151980198
H1,close,48,404.0,6.580498791295429,7.1311963873140645,2.640339555350293,0.29842021042419425,9.812524867330687,2245.6847079207923
H1,close,49,404.0,6.408839219500489,7.068831129908694,2.45965867271652,0.2922824500214734,9.921837645693502,2245.45075990099
H1,close,50,404.0,6.523583038066162,7.227548960919317,2.6160923876349673,0.29802749154762376,9.833948194718163,2245.749175742574
H1,high,1,404.0,2.6805992487115877,2.499068049407137,2.096396633765293,0.12430098480072198,4.0535964185032,2245.5596955445544
H1,high,2,404.0,3.234534545335005,3.342533980447541,2.268271285378989,0.1497761059179785,4.774312997782425,2246.051435643564
H1,high,3,404.0,3.7044312396594594,3.7137902355470325,2.187851326598799,0.1689408371378717,5.504740455275502,2246.422037128713
H1,high,4,404.0,3.709849700784684,3.896286131300811,2.0814932105524147,0.17089170404427587,5.2841664023871,2246.3778787128713
H1,high,5,404.0,4.05091934364536,4.236983252487201,2.3546081332620807,0.1835364567017265,5.706783808894373,2246.9309455445546
H1,high,6,404.0,4.40471966200251,4.7103865380314,2.303293549293358,0.19937749201299435,6.239395880994344,2246.899004950495
H1,high,7,404.0,4.344461336567369,4.699348524161143,2.1502642308752855,0.19725192254556925,6.026677412007141,2246.8624554455446
H1,high,8,404.0,4.4628168647079525,4.713390551572076,2.17092598720986,0.20430757257952392,6.291758102885079,2246.9955099009903
H1,high,9,404.0,4.498091341142919,4.879091358725289,2.4050036363209526,0.20401002275699395,6.9125652528426595,2247.251443069307
H1,high,10,404.0,4.517163640031871,4.814952351011646,2.220563896738497,0.204522129325278,6.354224052646217,2247.2814975247525
H1,high,11,404.0,5.000745555243924,5.2614998618015,2.4531360059531253,0.22798729211662558,7.19953058501132,2247.5583514851483
H1,high,12,404.0,5.153948216560824,5.432586263218944,2.3825697524812375,0.23285652837447096,7.294640524100269,2247.6564356435642
H1,high,13,404.0,5.008296030337631,5.3285966200016235,2.1760074142442813,0.22719981421690907,7.148154138276004,2247.715150990099
H1,high,14,404.0,4.868002096734957,5.288972831026344,2.2471818796249594,0.2210893344611953,7.051614068818138,2247.8098886138614
H1,high,15,404.0,5.044013869529212,5.600069530003264,2.4211634293579234,0.22697956096074776,7.51032592991669,2247.7126361386136
H1,high,16,404.0,4.893268336559923,5.343092108892109,2.238110735865013,0.22168539353233596,7.303236434669592,2248.189594059406
H1,high,17,404.0,5.080184500959899,5.382012384853998,2.323717005736413,0.23204666494990298,7.594232333784424,2248.2548638613857
H1,high,18,404.0,5.175589084920789,5.425886317229787,2.2841777403511023,0.23449032910931258,7.8175631153716605,2248.2039999999997
H1,high,19,404.0,5.21528229298167,5.62663507396225,2.194585250347248,0.23551567528821826,7.763417510273591,2248.2964950495048
H1,high,20,404.0,5.263303732992148,5.6011815867430705,2.33753103536461,0.2356632081707446,7.798146136614459,2248.3938217821783
H1,high,21,404.0,6.552528846695249,6.90337266180515,3.3156379037091974,0.27088846709655034,20.582506270848594,2248.804292079208
H1,high,22,404.0,5.798116250092578,6.029305689922345,2.544083632269348,0.25276316867232057,10.543114831658881,2248.788123762376
H1,high,23,404.0,5.459773943547448,5.9554085954326315,2.2139463621129276,0.24230232392520767,7.8822422876431,2248.5576163366336
H1,high,24,404.0,5.2978149188320485,5.7115154261978835,2.3666442169073516,0.2361896135525471,8.042420746394574,2248.547685643565
H1,high,25,404.0,5.274745943629669,5.774173117444641,2.2297875252589265,0.23700288156573596,7.633709345681373,2248.334321782178
H1,high,26,404.0,5.422428591495425,5.959573933185824,2.4017750911129188,0.24347402877357172,8.22993346902751,2248.5953019801977
H1,high,27,404.0,5.34619017846451,5.631709338721899,2.1245913988360954,0.23937548346727083,7.82931521564748,2248.4588019801977
H1,high,28,404.0,5.38042597766712,5.913291318032912,2.348418424271764,0.24266906454346823,7.899287907231302,2248.2754653465345
H1,high,29,404.0,5.393560965603114,6.140505157933112,2.2577781570078326,0.24313835133342698,8.020774206989197,2248.5568886138612
H1,high,30,404.0,5.768337446863122,6.2655576809820355,2.370622996343133,0.2615010988254334,8.267423086662715,2248.7687475247526
H1,high,31,404.0,6.247668834960384,6.850417780792504,2.6958247262109096,0.2774678701230754,10.454566793627869,2249.1614777227724
H1,high,32,404.0,5.974004593421349,6.548761814460474,2.246793467560642,0.2663803281528534,8.897772494292202,2249.419831683168
H1,high,33,404.0,5.926902581135437,6.384942776186171,2.3140346218095527,0.26233677956632556,8.968374519885016,2249.516324257426
H1,high,34,404.0,5.876952868973061,6.188513532709467,2.1411207783156145,0.26084438116518527,8.52527177828364,2249.746462871287
H1,high,35,404.0,5.992582734008015,6.46185183936234,2.371041391324202,0.26958226049989276,8.630635503959866,2249.5548465346537
H1,high,36,404.0,5.769813604961561,6.3385905418143365,2.3526550023283623,0.260255955095763,8.640013382058573,2249.4732054455444
H1,high,37,404.0,6.1638118447085395,6.575636353651616,2.42563613386875,0.27996324527061234,9.035670827079402,2249.3285346534653
H1,high,38,404.0,6.277435221035594,6.4661050360608385,2.6102573958685418,0.28628124827775436,9.257561869390024,2249.2517252475245
H1,high,39,404.0,6.40008164341139,6.844373498825463,2.509930151254853,0.28989158977828156,10.06270619636922,2249.0949975247527
H1,high,40,404.0,6.366029865035887,6.895116393946836,2.50722607528354,0.29081183431119034,9.399151640022554,2248.3902326732673
H1,high,41,404.0,6.219999211411248,6.676263015084818,2.325018800837795,0.28095710341360297,8.906217609144601,2248.4610693069308
H1,high,42,404.0,6.498484256633336,7.079225583609647,2.4487993572842948,0.29531768236186606,9.410084671660343,2248.5608316831685
H1,high,43,404.0,6.750335154385809,7.229831001074174,2.6117551979070295,0.30539847284589033,10.18057661677674,2248.6139232673263
H1,high,44,404.0,6.992942975906605,7.470993061376256,2.574629051802714,0.3196481021854527,10.70098291298596,2248.376891089109
H1,high,45,404.0,7.065462604737807,7.445190677115277,2.413846077463571,0.3234430076795077,10.501592748084294,2248.389972772277
H1,high,46,404.0,7.071000546514516,7.54630507559824,2.4088355879465566,0.3197751276993179,11.248596675473383,2248.4098316831682
H1,high,47,404.0,6.6954595526383915,7.279975081500171,2.275569112041839,0.3031412425792802,10.117162275811122,2248.2658910891087
H1,high,48,404.0,7.280931593288368,7.621554239959437,2.730124554067054,0.32424280970326846,11.713671444433347,2248.4693985148515
H1,high,49,404.0,7.111983368118478,7.6393911297155475,2.2929572461502157,0.32188266437377294,10.78100904479654,2248.4134727722776
H1,high,50,404.0,7.041627462117023,7.444429784819152,2.2979479076555087,0.3192161414389451,10.45748618946043,2248.5586336633664
H1,low,1,404.0,2.6642672506094756,2.376698630917664,1.9865092074160353,0.12576220192484505,3.889383807083393,2239.2458044554455
H1,low,2,404.0,3.155935167671003,3.3333824764939877,2.0553270712336777,0.14674526956871997,4.603989518172106,2239.8965371287127
H1,low,3,404.0,3.8767932629282877,3.8291825209877985,2.4368959223434805,0.18162749234819228,5.732096675768401,2240.0795891089106
