khung,thanh_phan,buoc,n,mae_mo_hinh_usd,mae_giu_delta_usd,mae_mot_buoc_usd,mape_mo_hinh_pct,rmse_mo_hinh_usd,gia_tri_tb_usd
M15,close,123,401.0,6.073198057164506,5.903093941936748,2.789855862398557,0.2789660384317571,9.202511176433044,2244.991940149626
M15,close,124,401.0,6.142262873160262,5.9684345344131176,2.8324912675666245,0.2828168961865409,9.329717386826525,2245.0880423940152
M15,close,125,401.0,6.062067534120021,5.83258734975316,2.8954945596063633,0.27806992558803295,9.154479500771316,2245.1820822942645
M15,close,126,401.0,6.167645042000977,5.850123540974642,2.826170030878304,0.2828316824328017,9.27835397999175,2245.2047730673316
M15,close,127,401.0,6.142080686304068,5.777644269839724,2.810130283300236,0.2813519234200965,9.360046550268805,2245.3469251870324
M15,close,128,401.0,6.185047522705817,5.87453689778064,2.727450814312404,0.28239922562971514,9.451098450002828,2245.499930174564
M15,close,129,401.0,6.0822880302238405,5.835876739289519,2.8840955426526445,0.2774679915658529,9.411539590006214,2245.7390374064835
M15,close,130,401.0,6.315275591328556,6.056987633232903,2.9916835090231686,0.2887287114889175,10.043292133250583,2245.7307481296757
M15,close,131,401.0,6.3610549005959625,6.096969450582273,2.8310874182015353,0.28984519388563273,10.064775801118998,2245.695710723192
M15,close,132,401.0,6.43603754687278,6.134412396837279,2.8681290792013154,0.2946224558328578,10.220549719723769,2245.7608528678306
M15,close,133,401.0,6.381610009311703,6.143999437766825,2.823914714490294,0.2935550478883429,10.033649813120608,2245.906441396509
M15,close,134,401.0,6.423516049617503,6.1958007392512515,2.787641757748352,0.29611236376716654,9.655940972394092,2245.9559226932665
M15,close,135,401.0,6.329858381047391,6.127132623791416,2.786897295141793,0.29095155730184186,9.62387142241494,2245.937364089776
M15,close,136,401.0,6.288838700640023,5.995530848205071,2.770954407441977,0.28797545784500034,9.565040986012374,2245.8107930174565
M15,close,137,401.0,6.218760838843114,6.027672999258182,2.7888752867601445,0.2838727698731846,9.765157995923818,2245.8157381546134
