time,open,high,low,close,volume,spread
2018-11-29 01:15:00+00:00,1222.065,1222.165,1221.525,1221.685,15.0,265
2018-11-29 01:30:00+00:00,1221.675,1221.735,1221.435,1221.705,15.0,276
2018-11-29 01:45:00+00:00,1221.695,1222.195,1221.615,1221.895,15.0,272
2018-11-29 02:00:00+00:00,1221.895,1222.755,1221.875,1222.595,15.0,319
2018-11-29 02:15:00+00:00,1222.598,1222.705,1222.355,1222.535,15.0,301
2018-11-29 02:30:00+00:00,1222.535,1223.315,1222.535,1223.175,15.0,318
2018-11-29 02:45:00+00:00,1223.168,1223.858,1223.035,1223.598,15.0,250
2018-11-29 03:00:00+00:00,1223.688,1224.118,1223.558,1223.638,15.0,251
2018-11-29 03:15:00+00:00,1223.638,1223.958,1223.538,1223.858,15.0,264
2018-11-29 03:30:00+00:00,1223.858,1223.858,1223.538,1223.638,14.0,284
2018-11-29 03:45:00+00:00,1223.598,1223.658,1223.235,1223.438,15.0,302
2018-11-29 04:00:00+00:00,1223.438,1224.108,1223.258,1223.968,15.0,272
2018-11-29 04:15:00+00:00,1223.978,1225.015,1223.958,1224.958,15.0,302
2018-11-29 04:30:00+00:00,1224.958,1225.188,1224.858,1225.065,15.0,301
2018-11-29 04:45:00+00:00,1225.065,1225.128,1224.555,1225.038,15.0,298
2018-11-29 05:00:00+00:00,1225.048,1225.308,1224.905,1225.148,15.0,319
2018-11-29 05:15:00+00:00,1225.178,1225.558,1224.528,1224.558,15.0,252
2018-11-29 05:30:00+00:00,1224.528,1225.118,1224.508,1225.008,15.0,299
2018-11-29 05:45:00+00:00,1225.008,1225.598,1224.898,1225.598,15.0,310
2018-11-29 06:00:00+00:00,1225.588,1225.838,1225.205,1225.588,15.0,302
2018-11-29 06:15:00+00:00,1225.528,1225.738,1224.725,1225.178,15.0,295
2018-11-29 06:30:00+00:00,1225.178,1225.278,1224.385,1225.178,15.0,297
2018-11-29 06:45:00+00:00,1225.178,1225.895,1224.968,1225.238,15.0,258
2018-11-29 07:00:00+00:00,1225.298,1225.968,1225.145,1225.375,15.0,306
2018-11-29 07:15:00+00:00,1225.408,1225.688,1225.075,1225.315,15.0,313
2018-11-29 07:30:00+00:00,1225.305,1227.048,1225.305,1226.398,15.0,281
2018-11-29 07:45:00+00:00,1226.398,1226.728,1226.025,1226.088,15.0,283
2018-11-29 08:00:00+00:00,1226.105,1226.588,1225.255,1226.435,15.0,287
2018-11-29 08:15:00+00:00,1226.435,1227.018,1226.108,1226.328,15.0,274
2018-11-29 08:30:00+00:00,1226.335,1226.528,1225.115,1225.195,15.0,285
2018-11-29 08:45:00+00:00,1225.198,1226.135,1225.008,1225.685,15.0,275
2018-11-29 09:00:00+00:00,1225.685,1226.425,1225.535,1225.868,15.0,281
2018-11-29 09:15:00+00:00,1225.875,1226.145,1225.768,1226.078,15.0,288
2018-11-29 09:30:00+00:00,1226.078,1226.258,1225.455,1225.938,15.0,286
2018-11-29 09:45:00+00:00,1225.948,1226.215,1225.748,1226.035,15.0,235
2018-11-29 10:00:00+00:00,1226.038,1226.458,1225.725,1226.415,15.0,282
2018-11-29 10:15:00+00:00,1226.415,1227.255,1226.115,1226.235,15.0,281
2018-11-29 10:30:00+00:00,1226.288,1226.638,1225.915,1226.098,15.0,270
2018-11-29 10:45:00+00:00,1226.108,1226.118,1225.325,1225.335,15.0,269
2018-11-29 11:00:00+00:00,1225.405,1225.455,1224.835,1225.205,15.0,255
2018-11-29 11:15:00+00:00,1225.215,1225.475,1224.625,1224.775,15.0,281
2018-11-29 11:30:00+00:00,1224.775,1225.765,1224.545,1225.485,15.0,281
2018-11-29 11:45:00+00:00,1225.485,1225.955,1225.005,1225.115,15.0,284
2018-11-29 12:00:00+00:00,1225.108,1226.135,1224.215,1225.935,15.0,284
2018-11-29 12:15:00+00:00,1225.975,1227.538,1225.835,1227.498,15.0,287
2018-11-29 12:30:00+00:00,1227.508,1228.258,1226.638,1226.988,15.0,254
2018-11-29 12:45:00+00:00,1226.978,1227.878,1226.225,1226.545,15.0,298
2018-11-29 13:00:00+00:00,1226.555,1227.035,1225.805,1225.805,15.0,277
2018-11-29 13:15:00+00:00,1225.805,1226.718,1225.115,1226.055,15.0,296
2018-11-29 13:30:00+00:00,1226.045,1227.708,1225.988,1226.548,15.0,320
2018-11-29 13:45:00+00:00,1226.545,1226.715,1225.165,1225.238,15.0,303
2018-11-29 14:00:00+00:00,1225.198,1226.488,1224.475,1225.768,15.0,267
2018-11-29 14:15:00+00:00,1225.775,1227.188,1225.318,1226.188,15.0,281
2018-11-29 14:30:00+00:00,1226.158,1227.148,1225.528,1226.788,15.0,258
2018-11-29 14:45:00+00:00,1226.848,1227.565,1226.618,1226.925,15.0,280
