time,macro_tone
2018-10-29 00:00:00+00:00,-1.3307
2018-10-30 00:00:00+00:00,-1.5741
2018-10-31 00:00:00+00:00,-1.2814
2018-11-01 00:00:00+00:00,-1.0119
2018-11-02 00:00:00+00:00,-0.6726
2018-11-03 00:00:00+00:00,-0.944
2018-11-04 00:00:00+00:00,-0.8026
2018-11-05 00:00:00+00:00,-1.0918
2018-11-06 00:00:00+00:00,-0.7191
2018-11-07 00:00:00+00:00,-0.8651
2018-11-08 00:00:00+00:00,-1.0235
2018-11-09 00:00:00+00:00,-1.3334
2018-11-10 00:00:00+00:00,-1.3654
2018-11-11 00:00:00+00:00,-1.0865
2018-11-12 00:00:00+00:00,-1.4233
2018-11-13 00:00:00+00:00,-0.9277
2018-11-14 00:00:00+00:00,-1.1493
2018-11-15 00:00:00+00:00,-1.1608
2018-11-16 00:00:00+00:00,-1.4573
2018-11-17 00:00:00+00:00,-1.0198
2018-11-18 00:00:00+00:00,-1.0556
2018-11-19 00:00:00+00:00,-1.2822
2018-11-20 00:00:00+00:00,-1.2867
2018-11-21 00:00:00+00:00,-1.4305
2018-11-22 00:00:00+00:00,-1.3915
2018-11-23 00:00:00+00:00,-1.2942
2018-11-24 00:00:00+00:00,-1.7436
2018-11-25 00:00:00+00:00,-1.3435
2018-11-26 00:00:00+00:00,-1.3204
2018-11-27 00:00:00+00:00,-1.243
2018-11-28 00:00:00+00:00,-1.8447
2018-11-29 00:00:00+00:00,-1.398
2018-11-30 00:00:00+00:00,-1.3937
2018-12-01 00:00:00+00:00,-1.2203
2018-12-02 00:00:00+00:00,-0.959
2018-12-03 00:00:00+00:00,-1.1608
2018-12-04 00:00:00+00:00,-1.2621
2018-12-05 00:00:00+00:00,-1.5219
2018-12-06 00:00:00+00:00,-1.5981
2018-12-07 00:00:00+00:00,-1.4873
2018-12-08 00:00:00+00:00,-1.3288
2018-12-09 00:00:00+00:00,-1.3709
2018-12-10 00:00:00+00:00,-1.6678
2018-12-11 00:00:00+00:00,-1.6487
2018-12-12 00:00:00+00:00,-1.136
2018-12-13 00:00:00+00:00,-1.2205
2018-12-14 00:00:00+00:00,-1.6386
2018-12-15 00:00:00+00:00,-1.5202
2018-12-16 00:00:00+00:00,-0.9193
2018-12-17 00:00:00+00:00,-1.3957
2018-12-18 00:00:00+00:00,-2.1287
2018-12-19 00:00:00+00:00,-1.429
2018-12-20 00:00:00+00:00,-1.954
2018-12-21 00:00:00+00:00,-2.1531
2018-12-22 00:00:00+00:00,-2.8346
2018-12-23 00:00:00+00:00,-2.7551
2018-12-24 00:00:00+00:00,-2.3995
2018-12-25 00:00:00+00:00,-2.5014
2018-12-26 00:00:00+00:00,-2.2446
2018-12-27 00:00:00+00:00,-1.5686
2018-12-28 00:00:00+00:00,-1.7817
2018-12-29 00:00:00+00:00,-1.6969
2018-12-30 00:00:00+00:00,-1.2738
2018-12-31 00:00:00+00:00,-1.6656
2019-01-01 00:00:00+00:00,-1.6593
2019-01-02 00:00:00+00:00,-1.5254
2019-01-03 00:00:00+00:00,-1.8444
2019-01-04 00:00:00+00:00,-1.7209
2019-01-05 00:00:00+00:00,-1.355
2019-01-06 00:00:00+00:00,-1.6941
2019-01-07 00:00:00+00:00,-1.0748
2019-01-08 00:00:00+00:00,-1.2499
2019-01-09 00:00:00+00:00,-1.3284
2019-01-10 00:00:00+00:00,-1.4573
2019-01-11 00:00:00+00:00,-1.3979
2019-01-12 00:00:00+00:00,-1.482
2019-01-13 00:00:00+00:00,-1.7547
2019-01-14 00:00:00+00:00,-1.3331
2019-01-15 00:00:00+00:00,-1.439
2019-01-16 00:00:00+00:00,-1.3888
2019-01-17 00:00:00+00:00,-1.794
2019-01-18 00:00:00+00:00,-1.2338
2019-01-19 00:00:00+00:00,-2.067
2019-01-20 00:00:00+00:00,-2.0954
2019-01-21 00:00:00+00:00,-1.5674
2019-01-22 00:00:00+00:00,-1.3348
2019-01-23 00:00:00+00:00,-1.8107
2019-01-24 00:00:00+00:00,-2.0907
2019-01-25 00:00:00+00:00,-1.6269
2019-01-26 00:00:00+00:00,-1.6814
2019-01-27 00:00:00+00:00,-1.6604
2019-01-28 00:00:00+00:00,-1.3292
2019-01-29 00:00:00+00:00,-1.8909
2019-01-30 00:00:00+00:00,-1.3325
2019-01-31 00:00:00+00:00,-0.8718
2019-02-01 00:00:00+00:00,-1.0558
2019-02-02 00:00:00+00:00,-2.304
2019-02-03 00:00:00+00:00,-1.5016
2019-02-04 00:00:00+00:00,-0.9818
2019-02-05 00:00:00+00:00,-1.3328
2019-02-06 00:00:00+00:00,-1.1678
2019-02-07 00:00:00+00:00,-1.2368
2019-02-08 00:00:00+00:00,-1.4252
2019-02-09 00:00:00+00:00,-1.2536
2019-02-10 00:00:00+00:00,-1.4895
2019-02-11 00:00:00+00:00,-1.5935
2019-02-12 00:00:00+00:00,-0.8955
2019-02-13 00:00:00+00:00,-1.0206
2019-02-14 00:00:00+00:00,-0.8962
2019-02-15 00:00:00+00:00,-1.8242
2019-02-16 00:00:00+00:00,-1.3911
2019-02-17 00:00:00+00:00,-1.6219
2019-02-18 00:00:00+00:00,-1.1093
2019-02-19 00:00:00+00:00,-1.1129
2019-02-20 00:00:00+00:00,-0.876
2019-02-21 00:00:00+00:00,-1.0748
2019-02-22 00:00:00+00:00,-1.2654
2019-02-23 00:00:00+00:00,-1.1785
2019-02-24 00:00:00+00:00,-2.1038
2019-02-25 00:00:00+00:00,-1.4883
2019-02-26 00:00:00+00:00,-1.348
2019-02-27 00:00:00+00:00,-1.1166
2019-02-28 00:00:00+00:00,-1.0889
2019-03-01 00:00:00+00:00,-1.172
2019-03-02 00:00:00+00:00,-1.9322
2019-03-03 00:00:00+00:00,-1.2811
2019-03-04 00:00:00+00:00,-0.6791
2019-03-05 00:00:00+00:00,-1.0526
2019-03-06 00:00:00+00:00,-1.6188
2019-03-07 00:00:00+00:00,-1.5331
2019-03-08 00:00:00+00:00,-1.592
2019-03-09 00:00:00+00:00,-1.1521
2019-03-10 00:00:00+00:00,-1.5232
2019-03-11 00:00:00+00:00,-1.4239
2019-03-12 00:00:00+00:00,-1.2306
2019-03-13 00:00:00+00:00,-1.2851
2019-03-14 00:00:00+00:00,-0.9679
2019-03-15 00:00:00+00:00,-1.189
2019-03-16 00:00:00+00:00,-1.1136
2019-03-17 00:00:00+00:00,-0.8856
2019-03-18 00:00:00+00:00,-1.1249
2019-03-19 00:00:00+00:00,-1.0506
2019-03-20 00:00:00+00:00,-1.0472
2019-03-21 00:00:00+00:00,-1.0594
2019-03-22 00:00:00+00:00,-1.4543
2019-03-23 00:00:00+00:00,-1.5772
2019-03-24 00:00:00+00:00,-1.32
2019-03-25 00:00:00+00:00,-1.7533
2019-03-26 00:00:00+00:00,-1.1587
2019-03-27 00:00:00+00:00,-1.4732
2019-03-28 00:00:00+00:00,-1.8043
2019-03-29 00:00:00+00:00,-1.4126
2019-03-30 00:00:00+00:00,-1.8377
2019-03-31 00:00:00+00:00,-1.2642
2019-04-01 00:00:00+00:00,-1.2141
2019-04-02 00:00:00+00:00,-1.13
2019-04-03 00:00:00+00:00,-1.0905
2019-04-04 00:00:00+00:00,-1.2121
2019-04-05 00:00:00+00:00,-0.9053
2019-04-06 00:00:00+00:00,-1.2712
2019-04-07 00:00:00+00:00,-1.4718
2019-04-08 00:00:00+00:00,-1.1863
2019-04-09 00:00:00+00:00,-1.4906
2019-04-10 00:00:00+00:00,-1.2107
2019-04-11 00:00:00+00:00,-1.3083
2019-04-12 00:00:00+00:00,-1.1053
2019-04-13 00:00:00+00:00,-1.3628
2019-04-14 00:00:00+00:00,-1.5099
2019-04-15 00:00:00+00:00,-1.1802
2019-04-16 00:00:00+00:00,-1.0756
2019-04-17 00:00:00+00:00,-1.0823
2019-04-18 00:00:00+00:00,-1.3624
2019-04-19 00:00:00+00:00,-0.9528
2019-04-20 00:00:00+00:00,-0.9229
2019-04-21 00:00:00+00:00,-1.0073
2019-04-22 00:00:00+00:00,-1.4897
2019-04-23 00:00:00+00:00,-1.3329
2019-04-24 00:00:00+00:00,-1.0302
2019-04-25 00:00:00+00:00,-0.9351
2019-04-26 00:00:00+00:00,-1.0729
2019-04-27 00:00:00+00:00,-0.959
2019-04-28 00:00:00+00:00,-1.1192
2019-04-29 00:00:00+00:00,-1.2148
2019-04-30 00:00:00+00:00,-0.8153
2019-05-01 00:00:00+00:00,-0.8063
2019-05-02 00:00:00+00:00,-1.5089
2019-05-03 00:00:00+00:00,-0.9205
2019-05-04 00:00:00+00:00,-0.8056
2019-05-05 00:00:00+00:00,-1.0211
2019-05-06 00:00:00+00:00,-1.3283
2019-05-07 00:00:00+00:00,-1.3059
2019-05-08 00:00:00+00:00,-1.4628
2019-05-09 00:00:00+00:00,-1.5173
2019-05-10 00:00:00+00:00,-1.4587
2019-05-11 00:00:00+00:00,-1.2214
2019-05-12 00:00:00+00:00,-0.9262
2019-05-13 00:00:00+00:00,-1.4387
2019-05-14 00:00:00+00:00,-1.351
2019-05-15 00:00:00+00:00,-1.3069
2019-05-16 00:00:00+00:00,-1.2505
2019-05-17 00:00:00+00:00,-1.1485
2019-05-18 00:00:00+00:00,-1.7371
2019-05-19 00:00:00+00:00,-0.9915
2019-05-20 00:00:00+00:00,-1.167
2019-05-21 00:00:00+00:00,-1.4901
2019-05-22 00:00:00+00:00,-1.3498
2019-05-23 00:00:00+00:00,-1.6003
2019-05-24 00:00:00+00:00,-1.4623
2019-05-25 00:00:00+00:00,-1.4466
2019-05-26 00:00:00+00:00,-1.1112
2019-05-27 00:00:00+00:00,-0.8748
2019-05-28 00:00:00+00:00,-0.9594
2019-05-29 00:00:00+00:00,-1.3978
2019-05-30 00:00:00+00:00,-1.4409
2019-05-31 00:00:00+00:00,-1.5337
2019-06-01 00:00:00+00:00,-0.7173
2019-06-02 00:00:00+00:00,-2.0989
2019-06-03 00:00:00+00:00,-1.2147
2019-06-04 00:00:00+00:00,-1.8095
2019-06-05 00:00:00+00:00,-1.9921
2019-06-06 00:00:00+00:00,-1.8842
2019-06-07 00:00:00+00:00,-2.0659
2019-06-08 00:00:00+00:00,-1.7267
2019-06-09 00:00:00+00:00,-1.2133
2019-06-10 00:00:00+00:00,-1.4371
2019-06-11 00:00:00+00:00,-1.3914
2019-06-12 00:00:00+00:00,-1.8428
2019-06-13 00:00:00+00:00,-1.4652
2019-06-14 00:00:00+00:00,-1.9132
2019-06-15 00:00:00+00:00,-1.8661
2019-06-16 00:00:00+00:00,-1.5302
