time,macro_vol
2019-04-18 00:00:00+00:00,0.5355
2019-04-19 00:00:00+00:00,0.2822
2019-04-20 00:00:00+00:00,0.2136
2019-04-21 00:00:00+00:00,0.275
2019-04-22 00:00:00+00:00,0.5991
2019-04-23 00:00:00+00:00,0.5663
2019-04-24 00:00:00+00:00,0.6861
2019-04-25 00:00:00+00:00,0.534
2019-04-26 00:00:00+00:00,0.5768
2019-04-27 00:00:00+00:00,0.2891
2019-04-28 00:00:00+00:00,0.4229
2019-04-29 00:00:00+00:00,0.7585
2019-04-30 00:00:00+00:00,0.8244
2019-05-01 00:00:00+00:00,0.9598
2019-05-02 00:00:00+00:00,0.9499
2019-05-03 00:00:00+00:00,0.8197
2019-05-04 00:00:00+00:00,0.3834
2019-05-05 00:00:00+00:00,0.4427
2019-05-06 00:00:00+00:00,0.5298
2019-05-07 00:00:00+00:00,0.5557
2019-05-08 00:00:00+00:00,0.5208
2019-05-09 00:00:00+00:00,0.5983
2019-05-10 00:00:00+00:00,0.6636
2019-05-11 00:00:00+00:00,0.4397
2019-05-12 00:00:00+00:00,0.4264
2019-05-13 00:00:00+00:00,0.5445
2019-05-14 00:00:00+00:00,0.5692
2019-05-15 00:00:00+00:00,0.51
2019-05-16 00:00:00+00:00,0.4685
2019-05-17 00:00:00+00:00,0.422
2019-05-18 00:00:00+00:00,0.3103
2019-05-19 00:00:00+00:00,0.3458
2019-05-20 00:00:00+00:00,0.4881
2019-05-21 00:00:00+00:00,0.4802
2019-05-22 00:00:00+00:00,0.5713
2019-05-23 00:00:00+00:00,0.4884
2019-05-24 00:00:00+00:00,0.3914
2019-05-25 00:00:00+00:00,0.3222
2019-05-26 00:00:00+00:00,0.3045
2019-05-27 00:00:00+00:00,0.3269
2019-05-28 00:00:00+00:00,0.3486
2019-05-29 00:00:00+00:00,0.4776
2019-05-30 00:00:00+00:00,0.5098
2019-05-31 00:00:00+00:00,0.4912
2019-06-01 00:00:00+00:00,0.2651
2019-06-02 00:00:00+00:00,0.3429
2019-06-03 00:00:00+00:00,0.6103
2019-06-04 00:00:00+00:00,0.7167
2019-06-05 00:00:00+00:00,0.8239
2019-06-06 00:00:00+00:00,0.7687
2019-06-07 00:00:00+00:00,0.9391
2019-06-08 00:00:00+00:00,0.6397
2019-06-09 00:00:00+00:00,0.3792
2019-06-10 00:00:00+00:00,0.573
2019-06-11 00:00:00+00:00,0.538
2019-06-12 00:00:00+00:00,0.5969
2019-06-13 00:00:00+00:00,0.5027
2019-06-14 00:00:00+00:00,0.6565
2019-06-15 00:00:00+00:00,0.4051
2019-06-16 00:00:00+00:00,0.3976
2019-06-17 00:00:00+00:00,0.7305
2019-06-18 00:00:00+00:00,0.7876
2019-06-19 00:00:00+00:00,0.9429
2019-06-20 00:00:00+00:00,0.9078
2019-06-21 00:00:00+00:00,0.7265
2019-06-22 00:00:00+00:00,0.4129
2019-06-23 00:00:00+00:00,0.5794
2019-06-24 00:00:00+00:00,0.7179
2019-06-25 00:00:00+00:00,0.7707
2019-06-26 00:00:00+00:00,0.6267
2019-06-27 00:00:00+00:00,0.566
2019-06-28 00:00:00+00:00,0.6181
2019-06-29 00:00:00+00:00,0.399
2019-06-30 00:00:00+00:00,0.3429
2019-07-01 00:00:00+00:00,0.6924
2019-07-02 00:00:00+00:00,0.6859
2019-07-03 00:00:00+00:00,0.6402
2019-07-04 00:00:00+00:00,0.5538
2019-07-05 00:00:00+00:00,1.0061
2019-07-06 00:00:00+00:00,0.5115
2019-07-07 00:00:00+00:00,0.4723
2019-07-08 00:00:00+00:00,0.7246
2019-07-09 00:00:00+00:00,0.6327
2019-07-10 00:00:00+00:00,0.8954
2019-07-11 00:00:00+00:00,0.7987
2019-07-12 00:00:00+00:00,0.7293
2019-07-13 00:00:00+00:00,0.4462
2019-07-14 00:00:00+00:00,0.3901
2019-07-15 00:00:00+00:00,0.7125
2019-07-16 00:00:00+00:00,0.8638
2019-07-17 00:00:00+00:00,0.7195
2019-07-18 00:00:00+00:00,0.7161
2019-07-19 00:00:00+00:00,0.6858
2019-07-20 00:00:00+00:00,0.4036
2019-07-21 00:00:00+00:00,0.5559
2019-07-22 00:00:00+00:00,0.818
2019-07-23 00:00:00+00:00,0.8042
2019-07-24 00:00:00+00:00,0.5569
2019-07-25 00:00:00+00:00,0.627
2019-07-26 00:00:00+00:00,0.7074
2019-07-27 00:00:00+00:00,0.3963
2019-07-28 00:00:00+00:00,0.385
2019-07-29 00:00:00+00:00,0.7584
2019-07-30 00:00:00+00:00,0.7382
2019-07-31 00:00:00+00:00,1.3137
2019-08-01 00:00:00+00:00,1.1242
2019-08-02 00:00:00+00:00,1.0799
2019-08-03 00:00:00+00:00,0.4358
2019-08-04 00:00:00+00:00,0.3738
2019-08-05 00:00:00+00:00,0.6502
2019-08-06 00:00:00+00:00,0.637
2019-08-07 00:00:00+00:00,0.8784
2019-08-08 00:00:00+00:00,0.6357
2019-08-09 00:00:00+00:00,0.5613
2019-08-10 00:00:00+00:00,0.3826
2019-08-11 00:00:00+00:00,0.3968
2019-08-12 00:00:00+00:00,0.5241
2019-08-13 00:00:00+00:00,0.6736
2019-08-14 00:00:00+00:00,0.8415
2019-08-15 00:00:00+00:00,0.944
2019-08-16 00:00:00+00:00,0.6503
2019-08-17 00:00:00+00:00,0.4645
2019-08-18 00:00:00+00:00,0.5319
2019-08-19 00:00:00+00:00,0.9097
2019-08-20 00:00:00+00:00,0.814
2019-08-21 00:00:00+00:00,0.8756
2019-08-22 00:00:00+00:00,0.7702
2019-08-23 00:00:00+00:00,1.1395
2019-08-24 00:00:00+00:00,0.7818
2019-08-25 00:00:00+00:00,0.5318
2019-08-26 00:00:00+00:00,0.643
2019-08-27 00:00:00+00:00,0.5289
2019-08-28 00:00:00+00:00,0.4363
2019-08-29 00:00:00+00:00,0.4931
2019-08-30 00:00:00+00:00,0.5936
2019-08-31 00:00:00+00:00,0.4891
2019-09-01 00:00:00+00:00,0.4633
2019-09-02 00:00:00+00:00,0.4178
2019-09-03 00:00:00+00:00,0.526
2019-09-04 00:00:00+00:00,0.6767
2019-09-05 00:00:00+00:00,0.4563
2019-09-06 00:00:00+00:00,0.8279
2019-09-07 00:00:00+00:00,0.4342
2019-09-08 00:00:00+00:00,0.2657
2019-09-09 00:00:00+00:00,0.6867
2019-09-10 00:00:00+00:00,0.6269
2019-09-11 00:00:00+00:00,0.6599
2019-09-12 00:00:00+00:00,0.7891
2019-09-13 00:00:00+00:00,0.603
2019-09-14 00:00:00+00:00,0.4115
2019-09-15 00:00:00+00:00,0.4612
2019-09-16 00:00:00+00:00,0.6604
2019-09-17 00:00:00+00:00,0.6972
2019-09-18 00:00:00+00:00,1.1444
2019-09-19 00:00:00+00:00,0.9744
2019-09-20 00:00:00+00:00,0.6627
2019-09-21 00:00:00+00:00,0.2943
2019-09-22 00:00:00+00:00,0.2726
2019-09-23 00:00:00+00:00,0.4972
2019-09-24 00:00:00+00:00,0.4413
2019-09-25 00:00:00+00:00,0.4941
2019-09-26 00:00:00+00:00,0.4899
2019-09-27 00:00:00+00:00,0.5143
2019-09-28 00:00:00+00:00,0.3217
2019-09-29 00:00:00+00:00,0.4272
2019-09-30 00:00:00+00:00,0.5662
2019-10-01 00:00:00+00:00,0.6507
2019-10-02 00:00:00+00:00,0.5053
2019-10-03 00:00:00+00:00,0.5578
2019-10-04 00:00:00+00:00,0.8684
2019-10-05 00:00:00+00:00,0.4158
2019-10-06 00:00:00+00:00,0.3283
2019-10-07 00:00:00+00:00,0.5568
2019-10-08 00:00:00+00:00,0.548
2019-10-09 00:00:00+00:00,0.571
2019-10-10 00:00:00+00:00,0.5641
2019-10-11 00:00:00+00:00,0.5032
2019-10-12 00:00:00+00:00,0.2953
2019-10-13 00:00:00+00:00,0.3989
2019-10-14 00:00:00+00:00,0.4866
2019-10-15 00:00:00+00:00,0.5617
2019-10-16 00:00:00+00:00,0.6244
2019-10-17 00:00:00+00:00,0.4839
2019-10-18 00:00:00+00:00,0.5254
2019-10-19 00:00:00+00:00,0.3979
2019-10-20 00:00:00+00:00,0.332
2019-10-21 00:00:00+00:00,0.4187
2019-10-22 00:00:00+00:00,0.4297
2019-10-23 00:00:00+00:00,0.4685
2019-10-24 00:00:00+00:00,0.6222
2019-10-25 00:00:00+00:00,0.5737
2019-10-26 00:00:00+00:00,0.429
2019-10-27 00:00:00+00:00,0.4832
2019-10-28 00:00:00+00:00,0.7706
2019-10-29 00:00:00+00:00,0.6866
2019-10-30 00:00:00+00:00,1.0561
2019-10-31 00:00:00+00:00,0.939
2019-11-01 00:00:00+00:00,0.6916
2019-11-02 00:00:00+00:00,0.3986
2019-11-03 00:00:00+00:00,0.5567
2019-11-04 00:00:00+00:00,0.5056
2019-11-05 00:00:00+00:00,0.5557
2019-11-06 00:00:00+00:00,0.5374
2019-11-07 00:00:00+00:00,0.5669
2019-11-08 00:00:00+00:00,0.4835
2019-11-09 00:00:00+00:00,0.3478
2019-11-10 00:00:00+00:00,0.3877
2019-11-11 00:00:00+00:00,0.4864
2019-11-12 00:00:00+00:00,0.5302
2019-11-13 00:00:00+00:00,0.7208
